,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,season,team
0,2022-08-15,18:30,Serie A,Matchweek 1,Mon,Away,W,5,2,Hellas Verona,2.4,1.1,66.0,16967.0,Giovanni Di Lorenzo,4-3-3,Michael Fabbri,Match Report,,25.0,8.0,15.2,2023,Napoli
1,2022-08-21,18:30,Serie A,Matchweek 2,Sun,Home,W,4,0,Monza,2.0,0.1,54.0,36559.0,Giovanni Di Lorenzo,4-3-3,Francesco Fourneau,Match Report,,22.0,5.0,15.3,2023,Napoli
2,2022-08-28,20:45,Serie A,Matchweek 3,Sun,Away,D,0,0,Fiorentina,1.7,0.5,52.0,32286.0,Giovanni Di Lorenzo,4-2-3-1,Livio Marinelli,Match Report,,13.0,2.0,14.7,2023,Napoli
3,2022-08-31,20:45,Serie A,Matchweek 4,Wed,Home,D,1,1,Lecce,1.7,1.1,71.0,37573.0,Giovanni Di Lorenzo,4-2-3-1,Matteo Marcenaro,Match Report,,19.0,7.0,17.7,2023,Napoli
4,2022-09-03,20:45,Serie A,Matchweek 5,Sat,Away,W,2,1,Lazio,2.1,0.3,61.0,39000.0,Giovanni Di Lorenzo,4-2-3-1,Simone Sozza,Match Report,,19.0,7.0,16.1,2023,Napoli
6,2022-09-10,15:00,Serie A,Matchweek 6,Sat,Home,W,1,0,Spezia,2.2,0.5,63.0,32839.0,Giovanni Di Lorenzo,4-3-3,Alberto Santoro,Match Report,,28.0,6.0,17.8,2023,Napoli
8,2022-09-18,20:45,Serie A,Matchweek 7,Sun,Away,W,2,1,Milan,1.4,2.6,49.0,72573.0,Giovanni Di Lorenzo,4-3-3,Maurizio Mariani,Match Report,,8.0,3.0,20.7,2023,Napoli
9,2022-10-01,15:00,Serie A,Matchweek 8,Sat,Home,W,3,1,Torino,1.6,1.0,49.0,35953.0,Giovanni Di Lorenzo,4-3-3,Luca Massimi,Match Report,,15.0,7.0,18.3,2023,Napoli
11,2022-10-09,18:00,Serie A,Matchweek 9,Sun,Away,W,4,1,Cremonese,4.1,0.8,69.0,14238.0,Giovanni Di Lorenzo,4-3-3,Rosario Abisso,Match Report,,20.0,9.0,17.8,2023,Napoli
13,2022-10-16,18:00,Serie A,Matchweek 10,Sun,Home,W,3,2,Bologna,2.6,1.3,49.0,50000.0,Giovanni Di Lorenzo,4-3-3,Francesco Cosso,Match Report,,31.0,11.0,14.3,2023,Napoli
14,2022-10-23,20:45,Serie A,Matchweek 11,Sun,Away,W,1,0,Roma,0.9,0.3,60.0,61633.0,Giovanni Di Lorenzo,4-3-3,Massimiliano Irrati,Match Report,,12.0,5.0,21.2,2023,Napoli
16,2022-10-29,15:00,Serie A,Matchweek 12,Sat,Home,W,4,0,Sassuolo,2.1,1.0,67.0,45000.0,Giovanni Di Lorenzo,4-3-3,Antonio Rapuano,Match Report,,18.0,6.0,16.2,2023,Napoli
18,2022-11-05,18:00,Serie A,Matchweek 13,Sat,Away,W,2,1,Atalanta,1.3,2.0,53.0,19363.0,Giovanni Di Lorenzo,4-3-3,Maurizio Mariani,Match Report,,7.0,5.0,14.3,2023,Napoli
19,2022-11-08,18:30,Serie A,Matchweek 14,Tue,Home,W,2,0,Empoli,2.0,0.3,74.0,36000.0,Giovanni Di Lorenzo,4-3-3,Luca Pairetto,Match Report,,17.0,3.0,17.8,2023,Napoli
20,2022-11-12,15:00,Serie A,Matchweek 15,Sat,Home,W,3,2,Udinese,1.5,0.7,63.0,51000.0,Giovanni Di Lorenzo,4-3-3,Giovanni Ayroldi,Match Report,,15.0,5.0,16.1,2023,Napoli
21,2023-01-04,20:45,Serie A,Matchweek 16,Wed,Away,L,0,1,Inter,0.9,1.4,64.0,75470.0,Giovanni Di Lorenzo,4-3-3,Simone Sozza,Match Report,,9.0,2.0,13.1,2023,Napoli
22,2023-01-08,18:00,Serie A,Matchweek 17,Sun,Away,W,2,0,Sampdoria,3.2,0.6,66.0,24490.0,Giovanni Di Lorenzo,4-3-3,Rosario Abisso,Match Report,,22.0,6.0,18.4,2023,Napoli
23,2023-01-13,20:45,Serie A,Matchweek 18,Fri,Home,W,5,1,Juventus,2.1,1.3,60.0,60000.0,Giovanni Di Lorenzo,4-3-3,Daniele Doveri,Match Report,,14.0,10.0,14.4,2023,Napoli
25,2023-01-21,18:00,Serie A,Matchweek 19,Sat,Away,,,,Salernitana,,,,,,,,Head-to-Head,,,,,2023,Napoli
26,2023-01-29,20:45,Serie A,Matchweek 20,Sun,Home,,,,Roma,,,,,,,,Head-to-Head,,,,,2023,Napoli
27,2023-02-05,12:30,Serie A,Matchweek 21,Sun,Away,,,,Spezia,,,,,,,,Head-to-Head,,,,,2023,Napoli
28,2023-02-12,20:45,Serie A,Matchweek 22,Sun,Home,,,,Cremonese,,,,,,,,Head-to-Head,,,,,2023,Napoli
29,2023-02-17,20:45,Serie A,Matchweek 23,Fri,Away,,,,Sassuolo,,,,,,,,Head-to-Head,,,,,2023,Napoli
31,2023-02-25,18:00,Serie A,Matchweek 24,Sat,Away,,,,Empoli,,,,,,,,Head-to-Head,,,,,2023,Napoli
32,2023-03-03,20:45,Serie A,Matchweek 25,Fri,Home,,,,Lazio,,,,,,,,Head-to-Head,,,,,2023,Napoli
33,2023-03-11,18:00,Serie A,Matchweek 26,Sat,Home,,,,Atalanta,,,,,,,,Head-to-Head,,,,,2023,Napoli
35,2023-03-19,15:00,Serie A,Matchweek 27,Sun,Away,,,,Torino,,,,,,,,Head-to-Head,,,,,2023,Napoli
36,2023-04-02,20:45,Serie A,Matchweek 28,Sun,Home,,,,Milan,,,,,,,,Head-to-Head,,,,,2023,Napoli
37,2023-04-08,12:30,Serie A,Matchweek 29,Sat,Away,,,,Lecce,,,,,,,,Head-to-Head,,,,,2023,Napoli
38,2023-04-16,,Serie A,Matchweek 30,Sun,Home,,,,Hellas Verona,,,,,,,,Head-to-Head,,,,,2023,Napoli
39,2023-04-23,,Serie A,Matchweek 31,Sun,Away,,,,Juventus,,,,,,,,Head-to-Head,,,,,2023,Napoli
40,2023-04-30,,Serie A,Matchweek 32,Sun,Home,,,,Salernitana,,,,,,,,Head-to-Head,,,,,2023,Napoli
41,2023-05-03,,Serie A,Matchweek 33,Wed,Away,,,,Udinese,,,,,,,,Head-to-Head,,,,,2023,Napoli
42,2023-05-07,,Serie A,Matchweek 34,Sun,Home,,,,Fiorentina,,,,,,,,Head-to-Head,,,,,2023,Napoli
43,2023-05-14,,Serie A,Matchweek 35,Sun,Away,,,,Monza,,,,,,,,Head-to-Head,,,,,2023,Napoli
44,2023-05-21,,Serie A,Matchweek 36,Sun,Home,,,,Inter,,,,,,,,Head-to-Head,,,,,2023,Napoli
45,2023-05-28,,Serie A,Matchweek 37,Sun,Away,,,,Bologna,,,,,,,,Head-to-Head,,,,,2023,Napoli
46,2023-06-04,,Serie A,Matchweek 38,Sun,Home,,,,Sampdoria,,,,,,,,Head-to-Head,,,,,2023,Napoli
0,2022-08-13,18:30,Serie A,Matchweek 1,Sat,Home,W,4.0,2.0,Udinese,2.3,0.5,59.0,70197.0,Davide Calabria,4-2-3-1,Livio Marinelli,Match Report,,13.0,4.0,19.6,2023,Milan
1,2022-08-21,20:45,Serie A,Matchweek 2,Sun,Away,D,1.0,1.0,Atalanta,1.3,0.5,60.0,19216.0,Davide Calabria,4-2-3-1,Fabio Maresca,Match Report,,18.0,7.0,20.3,2023,Milan
2,2022-08-27,20:45,Serie A,Matchweek 3,Sat,Home,W,2.0,0.0,Bologna,1.9,0.5,48.0,70430.0,Davide Calabria,4-2-3-1,Gianluca Manganiello,Match Report,,19.0,7.0,15.1,2023,Milan
3,2022-08-30,18:30,Serie A,Matchweek 4,Tue,Away,D,0.0,0.0,Sassuolo,0.7,1.1,62.0,18053.0,Theo Hernández,4-2-3-1,Giovanni Ayroldi,Match Report,,11.0,2.0,18.8,2023,Milan
4,2022-09-03,18:00,Serie A,Matchweek 5,Sat,Home,W,3.0,2.0,Inter,1.3,1.8,47.0,75475.0,Davide Calabria,4-2-3-1,Daniele Chiffi,Match Report,,21.0,5.0,16.7,2023,Milan
6,2022-09-10,20:45,Serie A,Matchweek 6,Sat,Away,W,2.0,1.0,Sampdoria,1.7,0.7,43.0,23049.0,Davide Calabria,4-2-3-1,Michael Fabbri,Match Report,,14.0,3.0,15.1,2023,Milan
8,2022-09-18,20:45,Serie A,Matchweek 7,Sun,Home,L,1.0,2.0,Napoli,2.6,1.4,51.0,72573.0,Davide Calabria,4-2-3-1,Maurizio Mariani,Match Report,,22.0,5.0,13.8,2023,Milan
9,2022-10-01,20:45,Serie A,Matchweek 8,Sat,Away,W,3.0,1.0,Empoli,2.3,1.1,57.0,15497.0,Davide Calabria,4-2-3-1,Gianluca Aureliano,Match Report,,19.0,6.0,19.1,2023,Milan
11,2022-10-08,18:00,Serie A,Matchweek 9,Sat,Home,W,2.0,0.0,Juventus,2.2,0.8,40.0,75530.0,Theo Hernández,4-3-2-1,Daniele Orsato,Match Report,,21.0,3.0,17.0,2023,Milan
13,2022-10-16,20:45,Serie A,Matchweek 10,Sun,Away,W,2.0,1.0,Hellas Verona,1.9,2.1,54.0,22904.0,Theo Hernández,4-2-3-1,Davide Massa,Match Report,,16.0,6.0,19.7,2023,Milan
14,2022-10-22,18:00,Serie A,Matchweek 11,Sat,Home,W,4.0,1.0,Monza,1.1,1.2,49.0,72938.0,Theo Hernández,4-2-3-1,Livio Marinelli,Match Report,,12.0,7.0,17.1,2023,Milan
16,2022-10-30,20:45,Serie A,Matchweek 12,Sun,Away,L,1.0,2.0,Torino,1.1,0.6,56.0,26133.0,Theo Hernández,4-2-3-1,Rosario Abisso,Match Report,,12.0,1.0,20.9,2023,Milan
18,2022-11-05,20:45,Serie A,Matchweek 13,Sat,Home,W,2.0,1.0,Spezia,2.2,1.6,58.0,71099.0,Theo Hernández,4-2-3-1,Michael Fabbri,Match Report,,23.0,10.0,17.1,2023,Milan
19,2022-11-08,20:45,Serie A,Matchweek 14,Tue,Away,D,0.0,0.0,Cremonese,1.0,0.3,71.0,14610.0,Ismaël Bennacer,3-4-1-2,Antonio Rapuano,Match Report,,16.0,5.0,18.6,2023,Milan
20,2022-11-13,18:00,Serie A,Matchweek 15,Sun,Home,W,2.0,1.0,Fiorentina,1.5,0.5,50.0,73007.0,Theo Hernández,4-2-3-1,Simone Sozza,Match Report,,12.0,2.0,20.9,2023,Milan
21,2023-01-04,12:30,Serie A,Matchweek 16,Wed,Away,W,2.0,1.0,Salernitana,2.7,0.7,56.0,29541.0,Davide Calabria,4-2-3-1,Francesco Fourneau,Match Report,,16.0,10.0,16.7,2023,Milan
22,2023-01-08,20:45,Serie A,Matchweek 17,Sun,Home,D,2.0,2.0,Roma,0.9,1.2,60.0,74103.0,Davide Calabria,4-2-3-1,Davide Massa,Match Report,,12.0,5.0,17.3,2023,Milan
24,2023-01-14,18:00,Serie A,Matchweek 18,Sat,Away,D,2.0,2.0,Lecce,1.4,1.4,65.0,25942.0,Davide Calabria,4-2-3-1,Daniele Orsato,Match Report,,12.0,5.0,16.2,2023,Milan
26,2023-01-24,20:45,Serie A,Matchweek 19,Tue,Away,,,,Lazio,,,,,,,,Head-to-Head,,,,,2023,Milan
27,2023-01-29,12:30,Serie A,Matchweek 20,Sun,Home,,,,Sassuolo,,,,,,,,Head-to-Head,,,,,2023,Milan
28,2023-02-05,20:45,Serie A,Matchweek 21,Sun,Away,,,,Inter,,,,,,,,Head-to-Head,,,,,2023,Milan
29,2023-02-10,20:45,Serie A,Matchweek 22,Fri,Home,,,,Torino,,,,,,,,Head-to-Head,,,,,2023,Milan
31,2023-02-18,18:00,Serie A,Matchweek 23,Sat,Away,,,,Monza,,,,,,,,Head-to-Head,,,,,2023,Milan
32,2023-02-26,20:45,Serie A,Matchweek 24,Sun,Home,,,,Atalanta,,,,,,,,Head-to-Head,,,,,2023,Milan
33,2023-03-04,20:45,Serie A,Matchweek 25,Sat,Away,,,,Fiorentina,,,,,,,,Head-to-Head,,,,,2023,Milan
35,2023-03-13,20:45,Serie A,Matchweek 26,Mon,Home,,,,Salernitana,,,,,,,,Head-to-Head,,,,,2023,Milan
36,2023-03-18,20:45,Serie A,Matchweek 27,Sat,Away,,,,Udinese,,,,,,,,Head-to-Head,,,,,2023,Milan
37,2023-04-02,20:45,Serie A,Matchweek 28,Sun,Away,,,,Napoli,,,,,,,,Head-to-Head,,,,,2023,Milan
38,2023-04-08,16:30,Serie A,Matchweek 29,Sat,Home,,,,Empoli,,,,,,,,Head-to-Head,,,,,2023,Milan
39,2023-04-16,,Serie A,Matchweek 30,Sun,Away,,,,Bologna,,,,,,,,Head-to-Head,,,,,2023,Milan
40,2023-04-23,,Serie A,Matchweek 31,Sun,Home,,,,Lecce,,,,,,,,Head-to-Head,,,,,2023,Milan
41,2023-04-30,,Serie A,Matchweek 32,Sun,Away,,,,Roma,,,,,,,,Head-to-Head,,,,,2023,Milan
42,2023-05-03,,Serie A,Matchweek 33,Wed,Home,,,,Cremonese,,,,,,,,Head-to-Head,,,,,2023,Milan
43,2023-05-07,,Serie A,Matchweek 34,Sun,Home,,,,Lazio,,,,,,,,Head-to-Head,,,,,2023,Milan
44,2023-05-14,,Serie A,Matchweek 35,Sun,Away,,,,Spezia,,,,,,,,Head-to-Head,,,,,2023,Milan
45,2023-05-21,,Serie A,Matchweek 36,Sun,Home,,,,Sampdoria,,,,,,,,Head-to-Head,,,,,2023,Milan
46,2023-05-28,,Serie A,Matchweek 37,Sun,Away,,,,Juventus,,,,,,,,Head-to-Head,,,,,2023,Milan
47,2023-06-04,,Serie A,Matchweek 38,Sun,Home,,,,Hellas Verona,,,,,,,,Head-to-Head,,,,,2023,Milan
0,2022-08-15,20:45,Serie A,Matchweek 1,Mon,Home,W,3.0,0.0,Sassuolo,2.0,0.9,42.0,38725.0,Leonardo Bonucci,4-4-2,Antonio Rapuano,Match Report,,13.0,3.0,18.4,2023,Juventus
1,2022-08-22,20:45,Serie A,Matchweek 2,Mon,Away,D,0.0,0.0,Sampdoria,0.8,0.9,52.0,27573.0,Juan Cuadrado,4-3-3,Rosario Abisso,Match Report,,10.0,4.0,16.0,2023,Juventus
2,2022-08-27,18:30,Serie A,Matchweek 3,Sat,Home,D,1.0,1.0,Roma,0.6,1.3,57.0,41003.0,Juan Cuadrado,4-2-3-1,Massimiliano Irrati,Match Report,,14.0,3.0,23.6,2023,Juventus
3,2022-08-31,20:45,Serie A,Matchweek 4,Wed,Home,W,2.0,0.0,Spezia,0.9,0.2,50.0,35709.0,Juan Cuadrado,4-3-3,Andrea Colombo,Match Report,,15.0,3.0,18.6,2023,Juventus
4,2022-09-03,15:00,Serie A,Matchweek 5,Sat,Away,D,1.0,1.0,Fiorentina,0.9,2.1,40.0,36550.0,Juan Cuadrado,4-3-3,Daniele Doveri,Match Report,,4.0,1.0,14.2,2023,Juventus
6,2022-09-11,20:45,Serie A,Matchweek 6,Sun,Home,D,2.0,2.0,Salernitana,1.9,1.6,61.0,35097.0,Leonardo Bonucci,4-3-3,Matteo Marcenaro,Match Report,,22.0,6.0,18.6,2023,Juventus
8,2022-09-18,15:00,Serie A,Matchweek 7,Sun,Away,L,0.0,1.0,Monza,0.9,2.5,40.0,12878.0,Danilo,4-3-3,Fabio Maresca,Match Report,,10.0,2.0,12.9,2023,Juventus
9,2022-10-02,20:45,Serie A,Matchweek 8,Sun,Home,W,3.0,0.0,Bologna,1.8,0.4,48.0,34662.0,Leonardo Bonucci,4-4-2,Rosario Abisso,Match Report,,17.0,6.0,14.1,2023,Juventus
11,2022-10-08,18:00,Serie A,Matchweek 9,Sat,Away,L,0.0,2.0,Milan,0.8,2.2,60.0,75530.0,Leonardo Bonucci,4-4-2,Daniele Orsato,Match Report,,10.0,3.0,17.9,2023,Juventus
13,2022-10-15,18:00,Serie A,Matchweek 10,Sat,Away,W,1.0,0.0,Torino,2.1,0.6,47.0,22269.0,Juan Cuadrado,3-5-2,Maurizio Mariani,Match Report,,14.0,8.0,15.6,2023,Juventus
14,2022-10-21,20:45,Serie A,Matchweek 11,Fri,Home,W,4.0,0.0,Empoli,3.5,0.7,42.0,37771.0,Leonardo Bonucci,3-5-2,Michael Fabbri,Match Report,,21.0,7.0,14.3,2023,Juventus
16,2022-10-29,18:00,Serie A,Matchweek 12,Sat,Away,W,1.0,0.0,Lecce,0.6,0.2,64.0,25860.0,Juan Cuadrado,4-4-1-1,Daniele Chiffi,Match Report,,13.0,5.0,18.6,2023,Juventus
18,2022-11-06,20:45,Serie A,Matchweek 13,Sun,Home,W,2.0,0.0,Inter,0.9,1.2,47.0,40093.0,Danilo,3-5-1-1,Daniele Doveri,Match Report,,8.0,3.0,16.0,2023,Juventus
19,2022-11-10,18:30,Serie A,Matchweek 14,Thu,Away,W,1.0,0.0,Hellas Verona,1.1,1.2,57.0,21934.0,Leonardo Bonucci,3-5-2,Marco Di Bello,Match Report,,11.0,3.0,18.6,2023,Juventus
20,2022-11-13,20:45,Serie A,Matchweek 15,Sun,Home,W,3.0,0.0,Lazio,1.6,0.4,41.0,38729.0,Danilo,3-5-2,Davide Massa,Match Report,,13.0,9.0,17.5,2023,Juventus
21,2023-01-04,18:30,Serie A,Matchweek 16,Wed,Away,W,1.0,0.0,Cremonese,1.6,0.9,55.0,14896.0,Danilo,3-5-1-1,Giovanni Ayroldi,Match Report,,19.0,8.0,19.0,2023,Juventus
22,2023-01-07,18:00,Serie A,Matchweek 17,Sat,Home,W,1.0,0.0,Udinese,2.4,0.5,51.0,39536.0,Danilo,3-5-1-1,Matteo Marchetti,Match Report,,14.0,4.0,12.9,2023,Juventus
23,2023-01-13,20:45,Serie A,Matchweek 18,Fri,Away,L,1.0,5.0,Napoli,1.3,2.1,40.0,60000.0,Danilo,3-5-2,Daniele Doveri,Match Report,,11.0,2.0,18.0,2023,Juventus
25,2023-01-22,20:45,Serie A,Matchweek 19,Sun,Home,,,,Atalanta,,,,,,,,Head-to-Head,,,,,2023,Juventus
26,2023-01-29,15:00,Serie A,Matchweek 20,Sun,Home,,,,Monza,,,,,,,,Head-to-Head,,,,,2023,Juventus
27,2023-02-07,20:45,Serie A,Matchweek 21,Tue,Away,,,,Salernitana,,,,,,,,Head-to-Head,,,,,2023,Juventus
28,2023-02-12,18:00,Serie A,Matchweek 22,Sun,Home,,,,Fiorentina,,,,,,,,Head-to-Head,,,,,2023,Juventus
30,2023-02-19,18:00,Serie A,Matchweek 23,Sun,Away,,,,Spezia,,,,,,,,Head-to-Head,,,,,2023,Juventus
32,2023-02-28,20:45,Serie A,Matchweek 24,Tue,Home,,,,Torino,,,,,,,,Head-to-Head,,,,,2023,Juventus
33,2023-03-05,20:45,Serie A,Matchweek 25,Sun,Away,,,,Roma,,,,,,,,Head-to-Head,,,,,2023,Juventus
34,2023-03-12,20:45,Serie A,Matchweek 26,Sun,Home,,,,Sampdoria,,,,,,,,Head-to-Head,,,,,2023,Juventus
35,2023-03-19,20:45,Serie A,Matchweek 27,Sun,Away,,,,Inter,,,,,,,,Head-to-Head,,,,,2023,Juventus
36,2023-04-01,20:45,Serie A,Matchweek 28,Sat,Home,,,,Hellas Verona,,,,,,,,Head-to-Head,,,,,2023,Juventus
37,2023-04-08,20:45,Serie A,Matchweek 29,Sat,Away,,,,Lazio,,,,,,,,Head-to-Head,,,,,2023,Juventus
38,2023-04-16,,Serie A,Matchweek 30,Sun,Away,,,,Sassuolo,,,,,,,,Head-to-Head,,,,,2023,Juventus
39,2023-04-23,,Serie A,Matchweek 31,Sun,Home,,,,Napoli,,,,,,,,Head-to-Head,,,,,2023,Juventus
40,2023-04-30,,Serie A,Matchweek 32,Sun,Away,,,,Bologna,,,,,,,,Head-to-Head,,,,,2023,Juventus
41,2023-05-03,,Serie A,Matchweek 33,Wed,Home,,,,Lecce,,,,,,,,Head-to-Head,,,,,2023,Juventus
42,2023-05-07,,Serie A,Matchweek 34,Sun,Away,,,,Atalanta,,,,,,,,Head-to-Head,,,,,2023,Juventus
43,2023-05-14,,Serie A,Matchweek 35,Sun,Home,,,,Cremonese,,,,,,,,Head-to-Head,,,,,2023,Juventus
44,2023-05-21,,Serie A,Matchweek 36,Sun,Away,,,,Empoli,,,,,,,,Head-to-Head,,,,,2023,Juventus
45,2023-05-28,,Serie A,Matchweek 37,Sun,Home,,,,Milan,,,,,,,,Head-to-Head,,,,,2023,Juventus
46,2023-06-04,,Serie A,Matchweek 38,Sun,Away,,,,Udinese,,,,,,,,Head-to-Head,,,,,2023,Juventus
0,2022-08-13,20:45,Serie A,Matchweek 1,Sat,Away,W,2.0,1.0,Lecce,2.1,0.7,70.0,25353.0,Samir Handanović,3-5-2,Alessandro Prontera,Match Report,,19.0,9.0,17.6,2023,Internazionale
1,2022-08-20,20:45,Serie A,Matchweek 2,Sat,Home,W,3.0,0.0,Spezia,2.1,0.5,54.0,71212.0,Samir Handanović,3-5-2,Davide Ghersini,Match Report,,19.0,8.0,14.6,2023,Internazionale
2,2022-08-26,20:45,Serie A,Matchweek 3,Fri,Away,L,1.0,3.0,Lazio,1.5,1.1,52.0,52500.0,Samir Handanović,3-5-2,Michael Fabbri,Match Report,,19.0,7.0,16.3,2023,Internazionale
3,2022-08-30,20:45,Serie A,Matchweek 4,Tue,Home,W,3.0,1.0,Cremonese,2.2,1.2,53.0,70750.0,Samir Handanović,3-5-2,Francesco Fourneau,Match Report,,18.0,7.0,15.4,2023,Internazionale
4,2022-09-03,18:00,Serie A,Matchweek 5,Sat,Away,L,2.0,3.0,Milan,1.8,1.3,53.0,75475.0,Samir Handanović,3-5-2,Daniele Chiffi,Match Report,,16.0,5.0,20.3,2023,Internazionale
6,2022-09-10,18:00,Serie A,Matchweek 6,Sat,Home,W,1.0,0.0,Torino,1.5,0.7,57.0,69134.0,Samir Handanović,3-5-2,Giovanni Ayroldi,Match Report,,16.0,3.0,19.5,2023,Internazionale
8,2022-09-18,12:30,Serie A,Matchweek 7,Sun,Away,L,1.0,3.0,Udinese,1.1,1.6,56.0,22475.0,Samir Handanović,3-5-2,Paolo Valeri,Match Report,,16.0,4.0,18.8,2023,Internazionale
9,2022-10-01,18:00,Serie A,Matchweek 8,Sat,Home,L,1.0,2.0,Roma,1.0,1.0,58.0,75389.0,Samir Handanović,3-5-2,Davide Massa,Match Report,,15.0,2.0,21.5,2023,Internazionale
11,2022-10-08,15:00,Serie A,Matchweek 9,Sat,Away,W,2.0,1.0,Sassuolo,2.3,1.2,48.0,17574.0,Danilo D'Ambrosio,3-5-2,Simone Sozza,Match Report,,16.0,4.0,15.9,2023,Internazionale
13,2022-10-16,12:30,Serie A,Matchweek 10,Sun,Home,W,2.0,0.0,Salernitana,1.7,0.4,61.0,75452.0,Milan Škriniar,3-5-2,Juan Sacchi,Match Report,,16.0,6.0,14.4,2023,Internazionale
14,2022-10-22,20:45,Serie A,Matchweek 11,Sat,Away,W,4.0,3.0,Fiorentina,2.4,1.3,42.0,36699.0,Milan Škriniar,3-5-2,Paolo Valeri,Match Report,,7.0,6.0,14.3,2023,Internazionale
16,2022-10-29,20:45,Serie A,Matchweek 12,Sat,Home,W,3.0,0.0,Sampdoria,2.0,0.5,51.0,73311.0,Milan Škriniar,3-5-2,Luca Massimi,Match Report,,17.0,8.0,14.4,2023,Internazionale
18,2022-11-06,20:45,Serie A,Matchweek 13,Sun,Away,L,0.0,2.0,Juventus,1.2,0.9,53.0,40093.0,Milan Škriniar,3-5-2,Daniele Doveri,Match Report,,14.0,4.0,18.0,2023,Internazionale
19,2022-11-09,20:45,Serie A,Matchweek 14,Wed,Home,W,6.0,1.0,Bologna,2.6,0.7,57.0,69312.0,Milan Škriniar,3-5-2,Andrea Colombo,Match Report,,12.0,6.0,14.6,2023,Internazionale
20,2022-11-13,12:30,Serie A,Matchweek 15,Sun,Away,W,3.0,2.0,Atalanta,2.2,1.8,53.0,19353.0,Milan Škriniar,3-5-2,Daniele Chiffi,Match Report,,14.0,3.0,15.8,2023,Internazionale
21,2023-01-04,20:45,Serie A,Matchweek 16,Wed,Home,W,1.0,0.0,Napoli,1.4,0.9,36.0,75470.0,Milan Škriniar,3-5-2,Simone Sozza,Match Report,,6.0,1.0,11.8,2023,Internazionale
22,2023-01-07,20:45,Serie A,Matchweek 17,Sat,Away,D,2.0,2.0,Monza,1.7,1.5,46.0,13622.0,Milan Škriniar,3-5-2,Juan Sacchi,Match Report,,11.0,3.0,13.9,2023,Internazionale
24,2023-01-14,20:45,Serie A,Matchweek 18,Sat,Home,W,1.0,0.0,Hellas Verona,0.7,0.3,57.0,70734.0,Milan Škriniar,3-5-2,Michael Fabbri,Match Report,,11.0,3.0,19.0,2023,Internazionale
26,2023-01-23,20:45,Serie A,Matchweek 19,Mon,Home,,,,Empoli,,,,,,,,Head-to-Head,,,,,2023,Internazionale
27,2023-01-28,18:00,Serie A,Matchweek 20,Sat,Away,,,,Cremonese,,,,,,,,Head-to-Head,,,,,2023,Internazionale
28,2023-02-05,20:45,Serie A,Matchweek 21,Sun,Home,,,,Milan,,,,,,,,Head-to-Head,,,,,2023,Internazionale
29,2023-02-13,20:45,Serie A,Matchweek 22,Mon,Away,,,,Sampdoria,,,,,,,,Head-to-Head,,,,,2023,Internazionale
30,2023-02-18,20:45,Serie A,Matchweek 23,Sat,Home,,,,Udinese,,,,,,,,Head-to-Head,,,,,2023,Internazionale
32,2023-02-26,12:30,Serie A,Matchweek 24,Sun,Away,,,,Bologna,,,,,,,,Head-to-Head,,,,,2023,Internazionale
33,2023-03-05,18:00,Serie A,Matchweek 25,Sun,Home,,,,Lecce,,,,,,,,Head-to-Head,,,,,2023,Internazionale
34,2023-03-10,20:45,Serie A,Matchweek 26,Fri,Away,,,,Spezia,,,,,,,,Head-to-Head,,,,,2023,Internazionale
36,2023-03-19,20:45,Serie A,Matchweek 27,Sun,Home,,,,Juventus,,,,,,,,Head-to-Head,,,,,2023,Internazionale
37,2023-04-01,18:00,Serie A,Matchweek 28,Sat,Home,,,,Fiorentina,,,,,,,,Head-to-Head,,,,,2023,Internazionale
38,2023-04-08,14:30,Serie A,Matchweek 29,Sat,Away,,,,Salernitana,,,,,,,,Head-to-Head,,,,,2023,Internazionale
39,2023-04-16,,Serie A,Matchweek 30,Sun,Home,,,,Monza,,,,,,,,Head-to-Head,,,,,2023,Internazionale
40,2023-04-23,,Serie A,Matchweek 31,Sun,Away,,,,Empoli,,,,,,,,Head-to-Head,,,,,2023,Internazionale
41,2023-04-30,,Serie A,Matchweek 32,Sun,Home,,,,Lazio,,,,,,,,Head-to-Head,,,,,2023,Internazionale
42,2023-05-03,,Serie A,Matchweek 33,Wed,Away,,,,Hellas Verona,,,,,,,,Head-to-Head,,,,,2023,Internazionale
43,2023-05-07,,Serie A,Matchweek 34,Sun,Away,,,,Roma,,,,,,,,Head-to-Head,,,,,2023,Internazionale
44,2023-05-14,,Serie A,Matchweek 35,Sun,Home,,,,Sassuolo,,,,,,,,Head-to-Head,,,,,2023,Internazionale
45,2023-05-21,,Serie A,Matchweek 36,Sun,Away,,,,Napoli,,,,,,,,Head-to-Head,,,,,2023,Internazionale
46,2023-05-28,,Serie A,Matchweek 37,Sun,Home,,,,Atalanta,,,,,,,,Head-to-Head,,,,,2023,Internazionale
47,2023-06-04,,Serie A,Matchweek 38,Sun,Away,,,,Torino,,,,,,,,Head-to-Head,,,,,2023,Internazionale
0,2022-08-14,18:30,Serie A,Matchweek 1,Sun,Home,W,2.0,1.0,Bologna,0.7,1.5,42.0,45000.0,Ciro Immobile,4-3-3,Luca Massimi,Match Report,,9.0,6.0,19.7,2023,Lazio
